equipment_id,category,subcategory,model,price_per_minute
1,Bil,Personbil,Volvo V60 Kombi,2.65
2,Bil,Personbil,Volkswagen Golf,2.15
3,Bil,Elbil,Polestar 2 Long Range,3.20
4,Bil,Transportbil,Ford Transit Custom,3.85
5,Bil,Transportbil,Volkswagen Caddy Cargo,3.10
6,Bil,Minibuss,Mercedes Vito Tourer,4.40
7,Släp,Obromsat släp,Fogelsta FS1425,0.48
8,Släp,Kåpsläp,Fogelsta Cargo 300,0.82
9,Släp,Biltransport,Brian James A4,1.35
10,Byggmaskin,Minigrävare,Kubota U17-3,5.80
11,Byggmaskin,Minigrävare,Volvo EC18E,6.25
12,Byggmaskin,Hjullastare,Volvo L20F,7.20
13,Byggmaskin,Markvibrator,Swepac F90A,1.15
14,Byggmaskin,Betongblandare,Belle Minimix 150,0.52
15,Byggmaskin,Ställning,Alufase Modulställning,0.28
16,Verktyg,Borrhammare,Hilti TE 30-AVR,0.22
17,Verktyg,Kap-/gersåg,Makita LS1019L,0.26
18,Verktyg,Cirkelsåg,DeWalt DCS570,0.18
19,Verktyg,Spikpistol,Paslode IM350+,0.20
20,Verktyg,Kompressor,Atlas Copco XAS 48,0.62
21,Trädgård,Gräsklippare,Husqvarna LC 247,0.25
22,Trädgård,Robotklippare,Husqvarna Automower 430X,0.31
23,Trädgård,Häcksax,Stihl HSA 86,0.15
24,Trädgård,Jordfräs,Honda FJ500,0.34
25,Event,Partytält,ProTent 6x12 m,0.42
26,Event,Ljudsystem,JBL EON PA-kit,0.38
27,Event,Projektor,Epson EB-2250U,0.21
28,Event,Bord och stolar,Eventpaket 40 personer,0.33
29,Flytt,Säckkärra,Hörby Bruk P3,0.08
30,Flytt,Flyttlådor,Paket 30 flyttlådor,0.10
31,Städ,Mattvätt,Kärcher Puzzi 10/1,0.20
32,Städ,Högtryckstvätt,Kärcher HD 5/15,0.19
33,Energi,Elverk,Honda EU30is,0.46
34,Energi,Byggvärmare,Master B 100,0.30
35,Lift,Saxlift,Genie GS-1932,3.50
36,Lift,Bomlift,Genie Z-34/22N,5.10
