equipment_unit_id,equipment_id,serial_number,purchase_date,last_maintenance,condition
1,1,SE-LT-01-000001,2018-05-29,2025-12-09,fair
2,1,SE-LT-01-000002,2025-12-12,2026-02-19,poor
3,1,SE-LT-01-000003,2018-11-11,2025-12-22,fair
4,1,SE-LT-01-000004,2017-07-08,2026-02-16,good
5,1,SE-LT-01-000005,2021-09-25,2026-03-19,good
6,1,SE-LT-01-000006,2018-12-17,2026-04-10,fair
7,1,SE-LT-01-000007,2025-04-07,2026-01-02,good
8,1,SE-LT-01-000008,2019-05-29,2026-03-01,good
9,1,SE-LT-01-000009,2022-11-22,2025-12-04,good
10,1,SE-LT-01-000010,2022-04-29,2026-05-02,poor
11,1,SE-LT-01-000011,2018-12-28,2026-04-28,good
12,1,SE-LT-01-000012,2019-09-30,2026-02-08,good
13,1,SE-LT-01-000013,2019-09-15,2025-12-09,good
14,1,SE-LT-01-000014,2022-04-22,2026-03-01,good
15,1,SE-LT-01-000015,2017-07-23,2026-02-22,poor
16,1,SE-LT-01-000016,2022-09-17,2026-05-05,good
17,1,SE-LT-01-000017,2019-05-31,2026-03-01,good
18,1,SE-LT-01-000018,2019-11-24,2026-01-10,good
19,1,SE-LT-01-000019,2018-11-20,2026-02-11,good
20,1,SE-LT-01-000020,2018-12-31,2025-11-12,fair
21,1,SE-LT-01-000021,2018-11-02,2026-05-16,fair
22,1,SE-LT-01-000022,2019-11-10,2025-12-09,good
23,1,SE-LT-01-000023,2018-08-11,2026-05-01,good
24,1,SE-LT-01-000024,2025-01-11,2026-02-04,fair
25,1,SE-LT-01-000025,2019-04-02,2025-12-30,good
26,1,SE-LT-01-000026,2018-09-11,2026-05-19,fair
27,1,SE-LT-01-000027,2018-05-05,2026-04-18,good
28,1,SE-LT-01-000028,2019-01-09,2026-01-29,good
29,1,SE-LT-01-000029,2025-05-22,2025-11-22,fair
30,1,SE-LT-01-000030,2017-09-08,2025-11-03,fair
31,1,SE-LT-01-000031,2018-05-09,2026-04-25,fair
32,1,SE-LT-01-000032,2019-02-14,2025-11-07,poor
33,1,SE-LT-01-000033,2020-06-03,2025-12-24,good
34,1,SE-LT-01-000034,2018-12-07,2025-11-30,fair
35,1,SE-LT-01-000035,2019-07-14,2025-11-28,good
36,1,SE-LT-01-000036,2019-10-03,2026-02-09,fair
37,1,SE-LT-01-000037,2023-07-02,2025-10-28,fair
38,1,SE-LT-01-000038,2017-08-05,2026-03-25,good
39,1,SE-LT-01-000039,2018-12-24,2026-02-03,good
40,1,SE-LT-01-000040,2025-08-08,2026-03-28,fair
